date,time,comp,season,team,opponent,venue,round,xg_for,gf_for,ga_for,sh_for,sot_for,dist_for,fk_for,pk_for,xg_against,gf_against,ga_against,sh_against,sot_against,dist_against,fk_against,pk_against
2024-10-23,18:45,Champions Lg,2024-2025,Bayer Leverkusen,fr Brest,Away,League phase,1.0,1,1,8,3,16.4,0,0,0.5,1,1,11.0,3.0,22.1,1.0,0.0
2024-10-26,18:30,Bundesliga,2024-2025,Bayer Leverkusen,Werder Bremen,Away,Matchweek 8,1.3,2,2,14,5,15.2,1,0,1.6,2,2,13.0,8.0,16.6,0.0,0.0
2024-10-29,18:00,DFB-Pokal,2024-2025,Bayer Leverkusen,Elversberg,Home,Round of 32,,3,0,10,7,,,0,,0,3,13.0,5.0,,,0.0
2024-11-01,20:30,Bundesliga,2024-2025,Bayer Leverkusen,Stuttgart,Home,Matchweek 9,2.2,0,0,19,5,13.4,0,0,0.3,0,0,4.0,1.0,20.5,0.0,0.0
2024-11-05,20:00 (21:00),Champions Lg,2024-2025,Bayer Leverkusen,eng Liverpool,Away,League phase,0.9,0,4,12,4,20.1,0,0,3.7,4,0,22.0,8.0,15.8,1.0,0.0
2024-11-09,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Bochum,Away,Matchweek 10,1.2,1,1,11,3,16.4,0,0,0.7,1,1,15.0,3.0,20.1,0.0,0.0
2024-11-23,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Heidenheim,Home,Matchweek 11,2.2,5,2,20,10,17.8,0,0,1.1,2,5,6.0,3.0,16.7,0.0,0.0
2024-11-26,21:00,Champions Lg,2024-2025,Bayer Leverkusen,at RB Salzburg,Home,League phase,4.3,5,0,28,12,15.4,2,1,0.3,0,5,7.0,2.0,19.6,0.0,0.0
2024-11-30,15:30,Bundesliga,2024-2025,Bayer Leverkusen,Union Berlin,Away,Matchweek 12,0.9,2,1,8,3,16.2,1,0,0.7,1,2,8.0,2.0,15.1,0.0,0.0
2024-12-03,20:45,DFB-Pokal,2024-2025,Bayer Leverkusen,Bayern Munich,Away,Round of 16,,1,0,11,4,,,0,,0,1,14.0,2.0,,,0.0
2024-12-07,15:30,Bundesliga,2024-2025,Bayer Leverkusen,St. Pauli,Home,Matchweek 13,0.9,2,1,6,2,18.6,1,0,1.8,1,2,12.0,4.0,15.3,0.0,0.0
2024-12-10,21:00,Champions Lg,2024-2025,Bayer Leverkusen,it Inter,Home,League phase,1.1,1,0,17,5,18.3,0,0,0.3,0,1,6.0,0.0,15.3,0.0,0.0
