date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-09-03,15:00,2023-2024,Ligue 1,4,Metz,Reims,2.0,2.0,1.1,2.0,2.0,0.7,0,0.67,1.53,0.67,1.53,1.33,2.0,1.33,2.0,2.33,1.0,2.33,1.0,2.2,0.77,2.2,0.77,,,,,1.03,1.71,1.24,1.38,3,3,1.03,1.71,1.24,1.38,-0.21
2023-09-03,17:05,2023-2024,Ligue 1,4,Nice,Strasbourg,2.0,0.0,2.2,0.0,2.0,0.2,1,1.6,1.73,1.6,1.73,0.67,1.33,0.67,1.33,0.67,1.33,0.67,1.33,0.77,0.97,0.77,0.97,,,,,1.18,0.85,1.12,1.47,3,3,1.18,0.85,1.12,1.47,0.06
2023-09-15,21:00,2023-2024,Ligue 1,5,Paris Saint Germain,Nice,2.0,3.0,1.0,3.0,2.0,1.3,-1,2.33,1.75,2.33,1.75,2.0,1.0,2.0,1.0,0.75,0.5,0.75,0.5,0.98,0.62,0.98,0.62,,,,,2.38,0.97,1.18,0.85,4,4,2.38,0.97,1.18,0.85,1.2
2023-09-16,21:00,2023-2024,Ligue 1,5,Lens,Metz,0.0,1.0,2.0,1.0,0.0,0.3,-1,0.7,0.78,0.7,0.78,1.0,1.5,1.0,1.5,2.5,2.25,2.5,2.25,1.58,1.82,1.58,1.82,,,,,1.32,1.09,1.03,1.71,4,4,1.32,1.09,1.03,1.71,0.29
2023-09-16,17:00,2023-2024,Ligue 1,5,Rennes,Lille,2.0,2.0,0.5,2.0,2.0,1.0,0,2.22,1.45,2.22,1.45,2.0,1.25,2.0,1.25,1.0,1.25,1.0,1.25,0.8,1.05,0.8,1.05,,,,,1.56,1.35,1.53,1.0,4,4,1.56,1.35,1.53,1.0,0.03
2023-09-17,15:00,2023-2024,Ligue 1,5,Reims,Brest,1.0,2.0,1.7,2.0,1.0,1.5,-1,1.32,1.62,1.32,1.62,2.0,1.25,2.0,1.25,1.25,1.25,1.25,1.25,0.85,1.27,0.85,1.27,,,,,1.24,1.38,1.56,1.0,4,4,1.24,1.38,1.56,1.0,-0.32
2023-09-17,20:45,2023-2024,Ligue 1,5,Lyon,Le Havre,0.0,0.0,1.5,0.0,0.0,0.8,0,1.1,1.15,1.1,1.15,0.75,2.0,0.75,2.0,2.5,1.5,2.5,1.5,2.65,1.65,2.65,1.65,,,,,1.44,1.62,1.0,1.32,4,4,1.44,1.62,1.0,1.32,0.44
2023-09-17,17:05,2023-2024,Ligue 1,5,Marseille,Toulouse,0.0,0.0,1.5,0.0,0.0,0.7,0,2.1,0.8,2.1,0.8,1.75,1.25,1.75,1.25,1.0,1.5,1.0,1.5,0.92,2.1,0.92,2.1,,,,,1.53,1.21,1.24,1.35,4,4,1.53,1.21,1.24,1.35,0.29
2023-09-17,15:00,2023-2024,Ligue 1,5,Clermont Foot,Nantes,0.0,1.0,1.3,1.0,0.0,0.6,-1,1.18,1.03,1.18,1.03,1.0,1.25,1.0,1.25,2.25,2.0,2.25,2.0,1.65,2.3,1.65,2.3,,,,,0.76,1.76,0.88,1.62,4,4,0.76,1.76,0.88,1.62,-0.12
2023-09-17,13:00,2023-2024,Ligue 1,5,Lorient,Monaco,2.0,2.0,0.9,2.0,2.0,1.7,0,0.8,1.9,0.8,1.9,1.25,3.25,1.25,3.25,1.25,1.25,1.25,1.25,1.5,0.98,1.5,0.98,,,,,1.26,1.94,2.0,1.24,4,4,1.26,1.94,2.0,1.24,-0.74
