date,time,season,comp,round,home_team,away_team,gf_home,ga_home,xg_home,gf_away,ga_away,xg_away,result_home,xg_home_roll5,xg_away_roll5,xg_home_roll10,xg_away_roll10,gf_home_roll5,gf_away_roll5,gf_home_roll10,gf_away_roll10,ga_home_roll5,ga_away_roll5,ga_home_roll10,ga_away_roll10,xg_conceded_home_roll5,xg_conceded_away_roll5,xg_conceded_home_roll10,xg_conceded_away_roll10,avg_goals_for_prev_home,avg_goals_against_prev_home,avg_goals_for_prev_away,avg_goals_against_prev_away,avg_goals_for_curr_home,avg_goals_against_curr_home,avg_goals_for_curr_away,avg_goals_against_curr_away,matches_played_home,matches_played_away,avg_goals_for_home,avg_goals_against_home,avg_goals_for_away,avg_goals_against_away,home_advantage
2023-09-16,15:30,2023-2024,Bundesliga,4,RB Leipzig,Augsburg,3.0,0.0,1.1,0.0,3.0,1.7,1,1.53,1.63,1.53,1.63,3.33,2.33,3.33,2.33,1.33,3.0,1.33,3.0,0.93,2.03,0.93,2.03,,,,,2.26,1.15,1.47,1.76,3,3,2.26,1.15,1.47,1.76,0.79
2023-09-16,15:30,2023-2024,Bundesliga,4,Mainz 05,Stuttgart,1.0,3.0,0.9,3.0,1.0,1.6,-1,1.33,1.93,1.33,1.93,0.67,3.67,0.67,3.67,3.0,1.67,3.0,1.67,1.9,1.2,1.9,1.2,,,,,1.15,1.5,2.29,1.15,3,3,1.15,1.5,2.29,1.15,-1.14
2023-09-16,18:30,2023-2024,Bundesliga,4,Bochum,Eintracht Frankfurt,1.0,1.0,2.0,1.0,1.0,0.6,0,1.13,1.23,1.13,1.23,1.0,1.0,1.0,1.0,2.67,0.67,2.67,0.67,2.07,0.87,2.07,0.87,,,,,1.24,2.18,1.5,1.47,3,3,1.24,2.18,1.5,1.47,-0.26
2023-09-16,15:30,2023-2024,Bundesliga,4,Freiburg,Dortmund,2.0,4.0,1.0,4.0,2.0,2.3,-1,2.0,2.17,2.0,2.17,1.0,1.33,1.0,1.33,2.0,1.0,2.0,1.0,1.37,1.43,1.37,1.43,,,,,1.32,1.71,2.0,1.26,3,3,1.32,1.71,2.0,1.26,-0.68
2023-09-16,15:30,2023-2024,Bundesliga,4,Köln,Hoffenheim,1.0,3.0,1.0,3.0,1.0,1.0,-1,1.0,2.13,1.0,2.13,0.67,2.33,0.67,2.33,1.33,1.67,1.33,1.67,1.53,2.07,1.53,2.07,,,,,0.82,1.76,1.94,1.94,3,3,0.82,1.76,1.94,1.94,-1.12
2023-09-16,15:30,2023-2024,Bundesliga,4,Wolfsburg,Union Berlin,2.0,1.0,0.4,1.0,2.0,1.1,1,1.7,1.3,1.7,1.3,1.67,2.67,1.67,2.67,1.33,1.67,1.33,1.67,1.37,1.93,1.37,1.93,,,,,1.21,1.65,0.97,1.71,3,3,1.21,1.65,0.97,1.71,0.24
2023-09-17,17:30,2023-2024,Bundesliga,4,Darmstadt 98,Monchengladbach,3.0,3.0,1.2,3.0,3.0,3.9,0,1.07,0.97,1.07,0.97,0.67,1.67,0.67,1.67,3.33,3.0,3.33,3.0,2.0,2.47,2.0,2.47,,,,,0.88,2.53,1.65,1.97,3,3,0.88,2.53,1.65,1.97,-0.77
2023-09-17,15:30,2023-2024,Bundesliga,4,Heidenheim,Werder Bremen,4.0,2.0,2.2,2.0,4.0,3.0,1,1.9,1.43,1.9,1.43,1.33,1.33,1.33,1.33,2.33,1.67,2.33,1.67,2.87,1.9,2.87,1.9,,,,,1.47,1.62,1.41,1.59,3,3,1.47,1.62,1.41,1.59,0.06
2023-09-22,20:30,2023-2024,Bundesliga,5,Stuttgart,Darmstadt 98,3.0,1.0,2.3,1.0,3.0,0.2,1,1.85,1.1,1.85,1.1,3.5,1.25,3.5,1.25,1.5,3.25,1.5,3.25,1.12,2.48,1.12,2.48,,,,,2.29,1.15,0.88,2.53,4,4,2.29,1.15,0.88,2.53,1.41
2023-09-23,15:30,2023-2024,Bundesliga,5,Monchengladbach,RB Leipzig,0.0,1.0,0.8,1.0,0.0,0.7,-1,1.7,1.42,1.7,1.42,2.0,3.25,2.0,3.25,3.0,1.0,3.0,1.0,2.15,1.12,2.15,1.12,,,,,1.65,1.97,2.26,1.15,4,4,1.65,1.97,2.26,1.15,-0.61
